panel_id	group_col	K	sample_id	top_group	top_posterior	second_group	second_posterior	posterior_gap	n_snps_used	confidence	status	note
P2_subregion_within_africa	subregion	5000	FAVV_2	W_Africa	0.999905316169231	E_Africa	9.46838307684642e-05	0.999810632338463	4993	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_3	W_Africa	1	E_Africa	2.71181383840277e-42	1	4998	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_4	W_Africa	1	E_Africa	4.35149975249912e-61	1	4995	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_5	E_Africa	1	W_Africa	3.51115905062262e-56	1	4995	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_6	W_Africa	1	E_Africa	7.1439381147102e-87	1	4993	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_7	E_Africa	1	W_Africa	9.85484802002937e-83	1	4996	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_11	E_Africa	0.96745022720156	W_Africa	0.0325497727984397	0.934900454403121	4999	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_12	W_Africa	1	E_Africa	7.98594886323024e-39	1	4992	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_13	W_Africa	1	E_Africa	1.34004560072763e-43	1	4988	High	ok	""
P2_subregion_within_africa	subregion	10000	Bd_2023_7	E_Africa	1	W_Africa	1.84142693143148e-24	1	9993	High	ok	""
P2_subregion_within_africa	subregion	10000	Bd_2024_2	E_Africa	0.590381200154785	W_Africa	0.409618799845215	0.180762400309569	9987	Low	low_gap	posterior_gap<0.25
P2_subregion_within_africa	subregion	10000	FAVV_1	W_Africa	0.999999999978454	E_Africa	2.15462098745621e-11	0.999999999956908	9994	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_2	W_Africa	0.999999999988995	E_Africa	1.10053289448158e-11	0.999999999977989	9993	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_3	W_Africa	1	E_Africa	3.46980204133195e-85	1	9993	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_4	W_Africa	1	E_Africa	1.66709287246273e-99	1	9991	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_5	E_Africa	1	W_Africa	1.41570289094591e-80	1	9984	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_6	W_Africa	1	E_Africa	3.52451280950221e-142	1	9985	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_7	E_Africa	1	W_Africa	6.18886750342356e-126	1	9992	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_11	W_Africa	1	E_Africa	3.03520830868337e-43	1	9998	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_12	W_Africa	1	E_Africa	5.71248544341944e-69	1	9982	High	ok	""
P2_subregion_within_africa	subregion	10000	FAVV_13	W_Africa	1	E_Africa	3.49661888144228e-84	1	9976	High	ok	""
P2_subregion_within_africa	subregion	11001	Bd_2023_7	E_Africa	1	W_Africa	3.77670449926377e-41	1	10993	High	ok	""
P2_subregion_within_africa	subregion	11001	Bd_2024_2	E_Africa	0.999999999980881	W_Africa	1.91189632844739e-11	0.999999999961762	10984	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_1	W_Africa	0.984124827168232	E_Africa	0.0158751728317681	0.968249654336464	10993	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_2	W_Africa	0.999999962646162	E_Africa	3.73538381807722e-08	0.999999925292324	10992	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_3	W_Africa	1	E_Africa	1.37222961495538e-86	1	10993	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_4	W_Africa	1	E_Africa	2.89847596012518e-104	1	10991	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_5	E_Africa	1	W_Africa	4.4613813380685e-88	1	10984	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_6	W_Africa	1	E_Africa	5.83404607311432e-150	1	10985	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_7	E_Africa	1	W_Africa	2.73936600986573e-130	1	10993	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_11	W_Africa	1	E_Africa	3.53924809972507e-46	1	10998	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_12	W_Africa	1	E_Africa	9.17787871688336e-70	1	10982	High	ok	""
P2_subregion_within_africa	subregion	11001	FAVV_13	W_Africa	1	E_Africa	4.30375970744492e-84	1	10974	High	ok	""
