og	label	allowed_extra
OG10369	Bdors	TRUE
OG10369	Blati	TRUE
OG1037	Bdors	TRUE
OG1037	Blati	TRUE
OG10370	Bdors	TRUE
OG10370	Blati	TRUE
OG10371	Bdors	TRUE
OG10371	Blati	TRUE
OG10372	Bdors	TRUE
OG10372	Blati	TRUE
OG10373	Bdors	TRUE
OG10373	Blati	TRUE
OG10374	Bdors	TRUE
OG10374	Blati	TRUE
OG10375	Bdors	TRUE
OG10375	Blati	TRUE
OG10376	Bdors	TRUE
OG10376	Blati	TRUE
OG10377	Bdors	TRUE
OG10377	Blati	TRUE
OG10378	Bdors	TRUE
OG10378	Blati	TRUE
OG10379	Bdors	TRUE
OG10379	Blati	TRUE
OG1038	Bdors	TRUE
OG1038	Blati	TRUE
OG10380	Bdors	TRUE
OG10380	Blati	TRUE
OG10381	Bdors	TRUE
OG10381	Blati	TRUE
OG10382	Bdors	TRUE
OG10382	Blati	TRUE
OG10383	Bdors	TRUE
OG10383	Blati	TRUE
OG10384	Bdors	TRUE
OG10384	Blati	TRUE
OG10385	Bdors	TRUE
OG10385	Blati	TRUE
OG10386	Bdors	TRUE
OG10386	Blati	TRUE
OG10387	Bdors	TRUE
OG10387	Blati	TRUE
OG10388	Bdors	TRUE
OG10388	Blati	TRUE
OG10389	Bdors	TRUE
OG10389	Blati	TRUE
OG1039	Bdors	TRUE
OG1039	Blati	TRUE
OG10390	Bdors	TRUE
OG10390	Blati	TRUE
OG10391	Bdors	TRUE
OG10391	Blati	TRUE
OG10392	Bdors	TRUE
OG10392	Blati	TRUE
OG10393	Bdors	TRUE
OG10393	Blati	TRUE
OG10394	Bdors	TRUE
OG10394	Blati	TRUE
OG10395	Bdors	TRUE
OG10395	Blati	TRUE
OG10396	Bdors	TRUE
OG10396	Blati	TRUE
OG10397	Bdors	TRUE
OG10397	Blati	TRUE
OG10398	Bdors	TRUE
OG10398	Blati	TRUE
OG10399	Bdors	TRUE
OG10399	Blati	TRUE
OG104	Bdors	TRUE
OG104	Blati	TRUE
OG1040	Bdors	TRUE
OG1040	Blati	TRUE
OG10400	Bdors	TRUE
OG10400	Blati	TRUE
OG10401	Bdors	TRUE
OG10401	Blati	TRUE
OG10402	Bdors	TRUE
OG10402	Blati	TRUE
OG10403	Bdors	TRUE
OG10403	Blati	TRUE
OG10404	Bdors	TRUE
OG10404	Blati	TRUE
OG10405	Bdors	TRUE
OG10405	Blati	TRUE
OG10406	Bdors	TRUE
OG10406	Blati	TRUE
OG10407	Bdors	TRUE
OG10407	Blati	TRUE
OG10408	Bdors	TRUE
OG10408	Blati	TRUE
OG10409	Bdors	TRUE
OG10409	Blati	TRUE
OG1041	Bdors	TRUE
OG1041	Blati	TRUE
OG10410	Bdors	TRUE
OG10410	Blati	TRUE
OG10411	Bdors	TRUE
OG10411	Blati	TRUE
OG10412	Bdors	TRUE
OG10412	Blati	TRUE
OG10413	Bdors	TRUE
OG10413	Blati	TRUE
OG10414	Bdors	TRUE
OG10414	Blati	TRUE
OG10415	Bdors	TRUE
OG10415	Blati	TRUE
OG10416	Bdors	TRUE
OG10416	Blati	TRUE
OG10417	Bdors	TRUE
OG10417	Blati	TRUE
OG10418	Bdors	TRUE
OG10418	Blati	TRUE
OG10419	Bdors	TRUE
OG10419	Blati	TRUE
OG1042	Bdors	TRUE
OG1042	Blati	TRUE
OG10420	Bdors	TRUE
OG10420	Blati	TRUE
OG10421	Bdors	TRUE
OG10421	Blati	TRUE
OG10422	Bdors	TRUE
OG10422	Blati	TRUE
OG10423	Bdors	TRUE
OG10423	Blati	TRUE
OG10424	Bdors	TRUE
OG10424	Blati	TRUE
OG10425	Bdors	TRUE
OG10425	Blati	TRUE
OG10426	Bdors	TRUE
OG10426	Blati	TRUE
OG10427	Bdors	TRUE
OG10427	Blati	TRUE
OG10428	Bdors	TRUE
OG10428	Blati	TRUE
OG10429	Bdors	TRUE
OG10429	Blati	TRUE
OG1043	Bdors	TRUE
OG1043	Blati	TRUE
OG10430	Bdors	TRUE
