og	sample_id
OG10221	ReuPie1
OG10221	ReuPie4
OG10221	Bd_2023_3
OG10222	ReuPie1
OG10222	ReuPie4
OG10222	Bd_2023_1
OG10222	Bd_2023_2
OG10222	Bd_2023_3
OG10223	ReuPie1
OG10223	Bd_2023_1
OG10223	Bd_2023_2
OG10223	Bd_2023_3
OG10225	ReuPie1
OG10225	Bd_2023_1
OG10225	Bd_2023_2
OG10225	Bd_2023_3
OG10226	ReuPie4
OG10226	Bd_2023_2
OG10227	ReuPie4
OG10227	Bd_2023_3
OG10228	ReuPie1
OG10228	ReuPie4
OG10228	Bd_2023_1
OG10229	Bd_2023_1
OG1023	ReuPie4
OG1023	Bd_2023_1
OG10230	ReuPie4
OG10230	Bd_2023_1
OG10231	ReuPie1
OG10231	ReuPie4
OG10231	Bd_2023_1
OG10231	Bd_2023_2
OG10232	ReuPie1
OG10232	ReuPie4
OG10232	Bd_2023_1
OG10232	Bd_2023_2
OG10232	Bd_2023_3
OG10233	Bd_2023_1
OG10233	Bd_2023_2
OG10234	ReuPie4
OG10234	Bd_2023_1
OG10234	Bd_2023_2
OG10234	Bd_2023_3
OG10235	Bd_2023_1
OG10235	Bd_2023_3
OG10236	ReuPie4
OG10236	Bd_2023_1
OG10236	Bd_2023_2
OG10237	ReuPie1
OG10237	ReuPie4
OG10237	Bd_2023_1
OG10238	Bd_2023_1
OG10238	Bd_2023_2
OG10239	YNJH01
OG10239	YNJH03
OG10239	ReuPie1
OG10239	ReuPie4
OG10239	Bd_2023_1
OG10239	Bd_2023_3
OG1024	Bd_2023_1
OG10240	ReuPie4
OG10240	Bd_2023_1
OG10240	Bd_2023_2
OG10240	Bd_2023_3
OG10241	Bd_2023_1
OG10242	Bd_2023_1
OG10242	Bd_2023_2
OG10243	ReuPie4
OG10243	Bd_2023_1
OG10243	Bd_2023_2
OG10244	ReuPie1
OG10244	ReuPie4
OG10244	Bd_2023_1
OG10244	Bd_2023_3
OG10245	Bd_2023_3
OG10247	Bd_2023_1
OG10248	ReuPie4
OG10248	Bd_2023_1
OG10248	Bd_2023_3
OG10249	ReuPie1
OG10249	Bd_2023_1
OG10249	Bd_2023_3
OG1025	ReuPie4
OG1025	Bd_2023_1
OG1025	Bd_2023_2
OG10250	ReuPie1
OG10250	ReuPie4
OG10250	Bd_2023_1
OG10250	Bd_2023_2
OG10251	Bd_2023_1
OG10251	Bd_2023_2
OG10251	Bd_2023_3
OG10252	Bd_2023_1
OG10252	Bd_2023_3
OG10253	ReuPie1
OG10253	ReuPie4
OG10253	Bd_2023_1
OG10253	Bd_2023_3
OG10254	ReuPie4
OG10254	Bd_2023_1
OG10254	Bd_2023_2
OG10254	Bd_2023_3
OG10255	ReuPie4
OG10255	Bd_2023_1
OG10255	Bd_2023_2
OG10255	Bd_2023_3
OG10256	ReuPie4
OG10256	Bd_2023_1
OG10256	Bd_2023_3
OG10257	ReuPie4
OG10257	Bd_2023_2
OG10257	Bd_2023_3
OG10258	ReuPie1
OG10258	ReuPie4
OG10258	Bd_2023_1
OG10258	Bd_2023_3
OG10259	ReuPie1
OG10259	ReuPie4
OG10259	Bd_2023_1
OG10259	Bd_2023_2
OG10259	Bd_2023_3
OG1026	ReuPie1
OG1026	Bd_2023_1
OG1026	Bd_2023_2
OG10260	ReuPie1
OG10260	ReuPie4
OG10260	Bd_2023_1
OG10260	Bd_2023_2
OG10260	Bd_2023_3
OG10261	ReuPie1
OG10261	ReuPie4
OG10261	Bd_2023_1
OG10261	Bd_2023_2
OG10262	ReuPie4
OG10262	Bd_2023_1
OG10262	Bd_2023_3
OG10263	ReuPie1
OG10263	ReuPie4
OG10263	Bd_2023_1
OG10263	Bd_2023_3
OG10264	ReuPie1
OG10264	Bd_2023_1
OG10264	Bd_2023_2
OG10264	Bd_2023_3
OG10265	ReuPie1
OG10265	ReuPie4
OG10265	Bd_2023_1
OG10265	Bd_2023_2
OG10266	NGNS02
OG10266	ReuPie4
OG10266	Bd_2023_1
OG10266	Bd_2023_3
OG10267	NGNS02
OG10267	ReuPie1
OG10267	ReuPie4
OG10267	Bd_2023_1
OG10267	Bd_2023_3
OG10268	ReuPie4
OG10268	Bd_2023_1
OG10268	Bd_2023_2
OG10268	Bd_2023_3
OG10269	Bd_2023_1
OG1027	ReuPie1
OG1027	ReuPie4
OG1027	Bd_2023_1
OG1027	Bd_2023_3
OG10270	NGNS02
OG10270	ReuPie1
OG10270	ReuPie4
OG10270	Bd_2023_1
OG10271	ReuPie4
OG10271	Bd_2023_1
OG10271	Bd_2023_2
OG10272	ReuPie1
OG10272	ReuPie4
OG10272	Bd_2023_1
OG10274	ReuPie1
OG10274	ReuPie4
OG10274	Bd_2023_1
OG10274	Bd_2023_2
OG10275	ReuPie1
OG10275	Bd_2023_1
OG10275	Bd_2023_2
OG10276	NGNS02
OG10276	Bd_2023_1
OG10277	Bd_2023_2
OG10278	ReuPie1
OG10278	Bd_2023_3
OG10279	ReuPie4
OG10279	Bd_2023_1
OG10279	Bd_2023_3
OG1028	ReuPie1
OG1028	Bd_2023_1
OG1028	Bd_2023_2
OG10280	ReuPie1
OG10280	ReuPie4
OG10280	Bd_2023_1
OG10280	Bd_2023_3
OG10283	ReuPie1
OG10283	ReuPie4
OG10283	Bd_2023_1
OG10283	Bd_2023_2
OG10284	Bd_2023_2
OG10284	Bd_2023_3
OG10285	Bd_2023_1
OG10287	ReuPie4
OG10287	Bd_2023_1
OG10287	Bd_2023_3
OG10288	Bd_2023_2
OG10288	Bd_2023_3
OG10289	ReuPie4
OG10289	Bd_2023_1
OG1029	ReuPie4
OG1029	Bd_2023_1
OG1029	Bd_2023_3
OG10290	ReuPie4
OG10290	Bd_2023_1
OG10290	Bd_2023_2
OG10290	Bd_2023_3
OG10291	ReuPie4
OG10291	Bd_2023_1
OG10291	Bd_2023_2
OG10291	Bd_2023_3
OG10292	NGNS02
OG10295	ReuPie4
OG10295	Bd_2023_1
OG10295	Bd_2023_2
OG10295	Bd_2023_3
OG10296	NGNS02
OG10296	ReuPie1
OG10296	ReuPie4
OG10296	Bd_2023_1
OG10297	NGNS02
OG10297	ReuPie1
OG10297	Bd_2023_1
OG10297	Bd_2023_2
OG10297	Bd_2023_3
OG10298	ReuPie1
OG10298	ReuPie4
OG10298	Bd_2023_1
OG10298	Bd_2023_2
OG10298	Bd_2023_3
OG10299	ReuPie4
OG10299	Bd_2023_2
OG10299	Bd_2023_3
OG103	ReuPie1
OG103	ReuPie4
OG103	Bd_2023_1
OG103	Bd_2023_2
OG103	Bd_2023_3
OG1030	ReuPie4
OG1030	Bd_2023_1
OG10300	ReuPie1
OG10300	ReuPie4
OG10300	Bd_2023_1
OG10300	Bd_2023_2
OG10300	Bd_2023_3
OG10301	ReuPie1
OG10301	ReuPie4
OG10301	Bd_2023_1
OG10301	Bd_2023_2
OG10302	NGNS02
OG10302	Bd_2023_1
OG10302	Bd_2023_2
OG10303	ReuPie1
OG10303	ReuPie4
OG10303	Bd_2023_1
OG10303	Bd_2023_2
OG10303	Bd_2023_3
OG10304	ReuPie1
OG10304	Bd_2023_2
OG10304	Bd_2023_3
OG10305	ReuPie1
OG10305	ReuPie4
OG10305	Bd_2023_3
OG10306	ReuPie4
